Trainnumber,Location,qjjl1,qjjl2,qjjl3,qjjl4,qjjl5,gd1,gd2,gd3,gd4,gd5,jhjg1,sjjg1,jhtz1,sjtz1,jhyx1,sjyx1,tzcs1,jhjg2,sjjg2,jhtz2,sjtz2,jhyx2,sjyx2,tzcs2,jhjg3,sjjg3,jhtz3,sjtz3,jhyx3,sjyx3,tzcs3,jhjg4,sjjg4,jhtz4,sjtz4,jhyx4,sjyx4,tzcs4,jhjg5,sjjg5,jhtz5,sjtz5,jhyx5,sjyx5,tzcs5,WD1,WD2,WD3,WD4,WD5,WD6,WD7,WD8,WD9,WD10,Y
879,Ht,6.6,1.2,1.7,1.6,22.3,1,8,1,1,1,16,15.42,0,0,5,3.23,0,17,15.43,0,0,1,0.65,0,17,15.35,0,0,1,0.9,0,18,15.17,0,0,1,1.48,0,18,15.25,0,0,10,2,0,0.08,0.08,-1.68,-1.68,-2.03,-2.03,-2.13,-2.13,-1.65,-1.65,0.53
6981,Ht,6.6,1.2,1.7,1.6,22.3,1,8,1,1,1,20.3,21,0.7,1,4,4.28,1,20,23.05,0,0,2,2.65,1,21,25.05,2,0.62,1,1.75,1,23,26.52,0,0,1,1.43,0,23,26.47,0,0,14,2,1,0.78,1.08,1.37,1.37,2.02,0.63,1.38,1.38,1.82,1.82,0.22
881,Ht,6.6,1.2,1.7,1.6,22.3,1,8,1,1,1,9.7,9.7,0,0,5,3.42,0,10,7.83,0,0,1,0.8,0,9,5.98,0,0,1,1.03,0,7,4.65,0,0,1,1.38,0,7,4.6,0,0,10,2,0,0.78,0.78,-0.8,-0.8,-1,-1,-0.97,-0.97,-0.58,-0.58,-0.77
883,Ht,6.6,1.2,1.7,1.6,22.3,1,8,1,1,1,30,28.92,0,0,5,3.28,0,30,28.78,0,0,1,0.73,0,30,28.72,0,0,1,1.07,0,30,28.75,0,0,1,1.4,0,30,28.77,0,0,10,2,0,-0.3,-0.3,-2.02,-2.02,-2.28,-2.28,-2.22,-2.22,-1.82,-1.82,-1.58
6985,Ht,6.6,1.2,1.7,1.6,22.3,1,8,1,1,1,20.3,23.27,0.7,0.6,4,4.52,1,20,25.1,0,0,2,1.82,1,21,26.18,2,0.55,1,1.83,1,23,27.5,0,0,1,1.42,0,23,27.52,0,0,14,2,1,2.67,2.57,3.08,3.08,2.9,1.45,2.28,2.28,2.7,2.7,1.27
885,Ht,6.6,1.2,1.7,1.6,22.3,1,8,1,1,1,9.7,6.75,0,0,5,3,0,10,4.63,0,0,1,0.6,0,9,3.42,0,0,1,0.87,0,7,1.9,0,0,1,1.4,0,7,1.88,0,0,10,2,0,-0.28,-0.28,-2.28,-2.28,-2.68,-2.68,-2.82,-2.82,-2.42,-2.42,-0.33
887,Ht,6.6,1.2,1.7,1.6,22.3,1,8,1,1,1,31,31.4,0,0,4,3.28,0,30,31.68,0,0,1,0.67,0,30,31.75,0,0,1,0.9,0,30,31.78,0,0,1,1.42,0,30,31.8,0,0,10,2,0,0.12,0.12,-0.6,-0.6,-0.93,-0.93,-1.03,-1.03,-0.62,-0.62,3.12
6989,Ht,6.6,1.2,1.7,1.6,22.3,1,8,1,1,1,19.3,20.35,0.7,0.78,4,3.6,1,20,21.45,0,0,2,1.73,1,21,22.52,2,1.37,1,2.05,1,23,25.03,0,0,1,1.43,0,23,25.05,0,0,14,2,1,1.17,1.25,0.85,0.85,0.58,-0.05,1,1,1.43,1.43,-0.13
889,Ht,6.6,1.2,1.7,1.6,22.3,1,8,1,1,1,10.7,16.37,0,0,4,3.5,0,10,15.48,0,0,1,0.6,0,9,14.35,0,0,1,0.8,0,7,11.73,0,0,1,1.33,0,7,11.63,0,0,10,2,0,6.83,6.83,6.33,6.33,5.93,5.93,5.73,5.73,6.07,6.07,5.33
6991,Ht,6.6,1.2,1.7,1.6,22.3,1,8,1,1,1,26.3,29.53,0.7,0.93,4,4.2,1,27,31.17,0,0,2,1.78,1,28,32.35,2,0.62,1,1.67,1,30,33.83,0,0,1,1.35,0,30,33.85,0,0,14,2,1,10.07,10.3,10.5,10.5,10.28,8.9,9.57,9.57,9.92,9.92,7.65
21455,Ht,6.6,1.2,1.7,1.6,22.3,1,8,1,1,1,18.7,8.55,0,0,4,3.08,0,18,6.5,0,0,2,0.63,0,18,5.35,0,0,1,0.87,0,16,3.93,0,0,1,1.37,0,16,3.95,0,0,12,2,0,-0.08,-0.08,-1,-1,-2.37,-2.37,-2.5,-2.5,-2.13,-2.13,-4.42
